"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma_obs2","loglik","loglik.se.se"
"1",0,0.79873547734532,0.00559324970339715,0.282115431046784,1.58796921472152,0,0,0.00734369915022478,0,0,-0.0721730991626822,3.70550741461434,0.203613216391435
"2",0,-0.806912188362884,0.0161711274473387,0.271582776270446,1.45976931445343,0,0,0.00565886675118928,0,0,-0.00413280032316816,-0.193238334317837,0.565023446732315
"3",0,-0.961891957337364,0.0450449443901305,-0.238524882208688,1.42908821576297,0,0,0.0192697228891303,0,0,0.0714145449754659,1.15434002045182,0.417020707585311
"4",0,0.79925904640001,0.00360425787883727,-0.292091965118755,1.74502826411039,0,0,0.00450799558777149,0,0,-0.0714263045199722,1.60196671201533,0.0568799310055943
"5",0,-0.890465713454038,-0.00220444679749893,-0.277432563427154,1.31606210159738,0,0,0.0267555960518243,0,0,-0.160067072340387,1.4593010931432,0.293355150445564
"6",0,-0.755843413786656,0.00774587125808262,-0.272941856084702,1.53523875671249,0,0,0.00952378825379544,0,0,-0.0796434781851096,0.543819744849294,0.911691632528851
"7",0,-0.756999736018551,0.00207521808180784,0.296427778352861,1.52031110507194,0,0,0.0102613928422218,0,0,0.141974546374256,0.151838207854062,0.24909279884478
"8",0,0.707364552707211,0.0199057392093711,-0.259765033289301,1.68345526946477,0,0,0.00410967583162093,0,0,-0.0691452640655007,-4.62945203756781,0.53414768318135
"9",0,-0.796726587468485,0.000391031317624028,0.295117850879004,1.55093379661136,0,0,0.015846513160264,0,0,0.0190259746447338,2.84513790981635,0.098369421119838
"10",0,0.834458064562505,0.0144534775658101,-0.256068346418474,1.48168755421994,0,0,0.00631070479900378,0,0,0.0923946558348798,-0.412779759149065,0.70388723976959
"11",0,0.815978961379999,0.0113770286781029,0.290446389260035,1.52600203320255,0,0,0.016313809988489,0,0,0.0742131686725295,2.60597142476958,0.105651341807982
"12",0,0.791193580661,0.00917753173796211,-0.271880893798851,1.48524811661505,0,0,0.00977659855757568,0,0,-0.0970495167151719,2.11542806662427,0.449591643692188
"13",0,-0.84826090077626,0.0225460444553092,-0.282807194371305,1.42874721306691,0,0,0.0100759332385446,0,0,0.0463567744712381,2.63158410426566,0.320769948470193
"14",0,0.780239216661226,0.000204899006182883,0.285744939756112,1.43504277421678,0,0,0.0136810992101502,0,0,0.0545839377985101,-0.268486787100751,0.436953505370451
"15",0,0.937684235875498,0.00654443921026682,-0.285907368937853,1.5479002892819,0,0,0.00545207636926111,0,0,0.00323787848820369,1.13480795595486,0.0416546560581159
"16",0,-0.839555184534882,-0.000551270862112324,-0.278632968606819,1.3236399398041,0,0,0.016806731118162,0,0,0.0593062642039495,1.93127782124205,2.72034546596674
"17",0,0.793549141636726,0.0123975811260304,0.309604885232463,1.75894295803061,0,0,0.00307212658411684,0,0,0.0159729021196166,0.704765383054283,0.0317402091299949
"18",0,0.838643788489458,0.0178674350212427,0.27006342736783,1.68309750663566,0,0,0.00385248000562061,0,0,0.117482943032792,1.28672407694422,0.123654257862521
"19",0,0.808073868446617,0.0220750623744743,0.272239579960732,1.49850609633341,0,0,0.0102526098437696,0,0,-0.0675513641203258,3.11235843630882,0.605677946627186
"20",0,1.04513557334906,0.0428929522044162,-0.221491518066452,1.4151276534943,0,0,0.0253023574186741,0,0,0.0360888066165754,-0.756809400890674,0.344452537001384
"21",0,-0.804892353389587,0.011878805751049,-0.276960306788747,1.56568748227114,0,0,0.00248823324352647,0,0,-0.0149511990938325,3.51172595369935,0.399822106103645
"22",0,-0.801152760375434,0.0184397328304017,0.263760406368179,1.41846310861045,0,0,0.0177077097864033,0,0,-0.0666765776785038,-0.803325174396001,4.04249961868446
"23",0,-0.79566978077631,0.0049979824451467,0.310978385165916,1.77317759975694,0,0,0.00253200185736278,0,0,0.0139128083077416,-0.684306179998683,0.0323865774264587
"24",0,0.761258382716549,0.00915507929647796,-0.287632599799785,1.62214516388043,0,0,0.00276384669751977,0,0,-0.0300517048106338,2.70443281233435,0.247435584684885
