"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0,1.04123873692898,0.153228467336988,0.324734470981059,1.13137201206592,0,0,0.032771382696702,0,0,0,-57.153450494497,0.0559824428880131
"2",0,-1.03891904715335,0.141894602025236,0.307085842215357,1.29489166826417,0,0,0.0266712633260374,0,0,0,-56.79219365522,0.0450222261606838
"3",0,1.28037547524134,0.116768476630281,-0.30248401294321,1.04210652542668,0,0,0.0471234818600413,0,0,0,-58.4333387793644,0.0209353391157831
"4",0,-0.8063987837514,0.068513359558349,0.383220558413804,1.35581868875963,0,0,0.0198165702268681,0,0,0,-55.6007431986732,0.0300186543925038
"5",0,1.12301593786349,0.102802769841353,0.329668222821729,1.15490932928949,0,0,0.0323740471248514,0,0,0,-56.3621837029351,0.0229901493351819
"6",0,1.0260042543677,0.12608737929918,0.362889523621623,1.17158114261828,0,0,0.037418641094434,0,0,0,-56.8006512108884,0.0160341256909677
"7",0,-1.08797711984023,0.133504506412047,0.323172011927908,1.22775432725842,0,0,0.0375839455279312,0,0,0,-56.5345628474753,0.0200979751252138
"8",0,-1.32316709530106,0.125336227991233,0.338378358718672,0.891938520235563,0,0,0.0348351106188954,0,0,0,-59.233773397752,0.0211995269634244
"9",0,-1.20776735500525,0.12559395878389,0.312433592659464,1.14616894257417,0,0,0.0290634417421664,0,0,0,-57.6653980339466,0.0223624305506821
"10",0,-1.17685028991763,0.125541526365585,0.331475362117671,1.15243576424584,0,0,0.0453444537218197,0,0,0,-57.8878267116067,0.0127208144244901
"11",0,1.18401328592254,0.137336895319499,-0.323694814525911,0.996268023936061,0,0,0.0478720115481975,0,0,0,-57.4387884519028,0.0315450098745881
"12",0,1.07166134081226,0.107384454292081,-0.331918193013626,1.29451016115082,0,0,0.0342609641945873,0,0,0,-56.4015375169235,0.014778150405352
"13",0,-1.06793078434846,0.12318687592453,0.305910738754258,1.46540737739739,0,0,0.0227906079462041,0,0,0,-57.7368873756924,0.0189097956326785
"14",0,0.76810049877304,0.0611897868809911,-0.382285796614886,1.5046668397948,0,0,0.00952465119882426,0,0,0,-55.943297315268,0.0220866744012414
"15",0,-1.05061333420416,0.127494370987845,0.334803634039003,1.19810264382702,0,0,0.0350404188739248,0,0,0,-55.8700752229582,0.0235643598841567
"16",0,1.08876553324443,0.110227571808551,-0.323041201124292,1.30894734364705,0,0,0.0193742334723267,0,0,0,-57.5364861623922,0.0225973456771228
"17",0,-1.209014017883,0.0885456820717665,0.342504975338632,1.02897529024557,0,0,0.0374010201075304,0,0,0,-57.9526567247463,0.0167732192853671
"18",0,-1.0636455301858,0.0953599002100033,-0.333062295758288,1.34315695938735,0,0,0.0290696810728827,0,0,0,-56.7193729223451,0.0139188696298794
"19",0,-1.00169781875798,0.0994944662129962,-0.312722501094135,1.57129836357066,0,0,0.0272657925151527,0,0,0,-57.8201259719261,0.0153334706360491
"20",0,0.987948191244289,0.126883858003642,-0.350255090266299,1.30286833425894,0,0,0.0245199500319753,0,0,0,-56.6920755351222,0.018485628402824
"21",0,1.23244662954148,0.112028160263734,0.331883736170693,0.997534733348388,0,0,0.026976463895776,0,0,0,-58.6446120559802,0.0280289678598393
"22",0,-0.982362934354194,0.0913726607167593,-0.337132682126792,1.26100670686723,0,0,0.0276420027802727,0,0,0,-55.8818077488983,0.0339264607106211
"23",0,-1.07951204179925,0.146344128511984,0.333782863621194,1.18402745288203,0,0,0.0371237267562559,0,0,0,-56.7539413457544,0.0208353187392577
"24",0,-0.737264822732612,0.051916265043635,-0.386470960319607,1.46712748542269,0,0,0.00581148458529626,0,0,0,-55.1945828450242,0.0382119821165636
"25",0,1.08737206445688,0.135671519698436,0.324141375273141,1.06714454197561,0,0,0.0355731910203446,0,0,0,-56.766165242186,0.0584151005666838
