"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma_obs2","loglik","loglik.se.se"
"1",0.0273476462757743,-0.754538440929407,-0.00690587784036132,0.307516973379822,1.29113965967561,0,0.490549421234455,0.0389583523784326,0,0,-3.99284370191358e-05,3.08933478097527,0.158913249303228
"2",0.040705276082368,-1.06782227144129,0.046508975684075,-0.246319750386518,1.14057499110088,0,-0.448030242178798,0.0515892838661336,0,0,-0.036089209042063,6.02217339233121,0.14379596567576
"3",0.043741509839828,1.08800022850876,0.000553678163716628,-0.278689257345838,0.92952503208085,0,-0.517997291412104,0.0555643059049265,0,0,0.0254816718023148,4.04890725310877,0.113353829481465
"4",0.054574405467987,0.94145821278461,-0.00319880105473431,-0.306660155074984,1.0166988354698,0,0.323088240588345,0.0676657646561785,0,0,0.0320021132298807,5.48534673583437,0.068652664826557
"5",0.0538571766654663,0.952790072578696,0.0272471659254254,-0.298048235936841,1.01040843261059,0,0.206233798683673,0.0623508475370685,0,0,-0.00424403638768629,5.07508154295724,0.194523073427266
"6",0.0298238435342402,0.90902679214476,-0.00796035126490073,0.292985574368314,1.35776586386244,0,0.472063975572684,0.0451832561820492,0,0,-0.0647276999381066,6.25076193440312,0.0271449174606202
"7",0.0368269160457533,-0.852064651307448,-0.0045826550061702,-0.265215275098688,1.35514374069592,0,0.293815300818452,0.0459623225318956,0,0,-0.0972423058884624,7.32102504761259,0.319727717220122
"8",0.0322948695181434,-0.981005971191489,-0.00410328612671409,-0.252468301943493,1.41198032024589,0,-0.256805802044059,0.0401980907590275,0,0,-0.00945618817247815,6.89918936640502,0.0693723880850539
"9",0.0243880888784397,0.930150746664869,0.0499555855414012,-0.2462562190551,1.4548678494629,0,-0.241419154659707,0.0412464308370054,0,0,0.0686601711431507,4.57158911458594,0.142410759160752
"10",0.027336324161277,-0.851488290943945,0.0207428019780461,-0.3116058345163,1.36066003615088,0,-0.30215733236527,0.0297174167722377,0,0,0.0844604029377871,5.47777159467834,0.0454569204252879
"11",0.0466846490948441,0.903986231492936,0.0130453711044525,-0.293230071918601,1.16203222605092,0,-0.188141481809602,0.0634442047475009,0,0,-0.0121587546972623,6.59549266604769,0.0841181535954371
"12",0.0485024835281468,0.988103320498016,0.0576703227048846,0.228294591249867,1.40324241822261,0,-0.373003350199104,0.0626694745727736,0,0,0.0823289662765209,3.98082810458576,0.124157094717099
"13",0.0525313476559144,1.2568916555824,0.0636765159111781,0.224696085714014,0.740795882364681,0,-0.275468212068024,0.0664558634719335,0,0,0.0475538362939074,-17.2081462286767,1.05211063192691
"14",0.0414569174919927,-1.17754782962894,0.0766131651735344,-0.215234847790117,1.04137674981439,0,0.637616210799976,0.0595183739404925,0,0,-0.00290776769514776,-2.92436057487728,0.372918923758578
"15",0.0241924133586585,0.775471711030931,0.00298964851308196,-0.27895004581146,1.44226745399374,0,-0.0192147871637807,0.0311956118263841,0,0,-0.0466142451101115,9.94057561921279,0.290115201442092
"16",0.0622605889311604,1.24443225604797,0.0415071274853652,0.244892657439673,0.900777382333632,0,0.108593863417795,0.0844215177674324,0,0,-0.0774417393657111,4.48830365253007,0.10724186640121
"17",0.0333181363995352,0.957361898979095,0.0551582612009437,-0.247587729153915,1.27073515008151,0,0.251919441541284,0.0391939227663443,0,0,-0.0472639904031722,5.97109418166277,0.5819900665591
"18",0.0237495232654339,-0.742485128536366,-0.000329743441226845,0.285118283994939,1.43314109179216,0,-0.0122470839490497,0.0336580076192849,0,0,0.14525519385646,4.76847998902364,0.378466345446813
"19",0.034932223507783,-0.971148869598772,0.016500450628554,0.269329168758232,1.3415229475584,0,0.384965276777236,0.0451625745219791,0,0,0.0826190739439093,6.41452402036953,0.0451427436583429
"20",0.0453378766109459,-0.965109697452226,0.0468222390672533,-0.257978968457659,1.2405204970094,0,-0.097556031469112,0.0462382477259082,0,0,0.0862600384456485,5.74631676425174,0.244730236500148
"21",0.0477135513682458,-1.05564674849724,0.0464474992686665,0.252193430953986,1.01948406793262,0,0.334634667876376,0.0565331244777193,0,0,-0.0679383416233562,6.44715236773908,0.864504652676768
"22",0.0557433447949393,-0.925098417269908,0.0475846696934508,0.262596606214977,1.15406655061316,0,-0.0288371221859838,0.0724734634656974,0,0,0.0565600057810528,4.44248567135449,0.311654915135993
"23",0.0300444325538925,-1.07889842568674,0.0597345034547663,0.260077449125042,0.985909159187453,0,0.399683052362533,0.0399718539396796,0,0,-0.00755539791967309,3.59171713593462,0.463375244260077
"24",0.0458544059091391,1.06019510687868,0.0412674697374321,0.270349931219874,1.03254939723754,0,0.293305465330711,0.054614273878623,0,0,-0.0182163019612331,6.42374664098957,0.121123086685274
