"","ramage","ramages","caquet","caquets","babil","babils","charivari","charivarys","charivary","charivaris","total"
"1692",NA,NA,3,NA,2,NA,NA,NA,NA,NA,1237987
"1693",33,7,2,1,1,NA,1,NA,NA,NA,17235907
"1694",20,8,1,NA,4,1,NA,NA,NA,NA,5165114
"1695",14,8,9,4,15,NA,NA,NA,8,NA,6190042
"1696",1,2,3,1,2,NA,NA,NA,NA,NA,4429363
"1697",8,1,2,NA,5,NA,NA,NA,3,NA,6010867
"1698",3,2,NA,NA,3,NA,1,NA,1,NA,3854991
"1699",5,1,1,NA,12,NA,1,NA,NA,NA,6493669
"1700",7,6,1,NA,6,NA,NA,NA,NA,NA,7682180
"1701",16,8,17,3,8,NA,4,NA,2,5,11981085
"1702",5,1,5,NA,8,NA,NA,NA,NA,NA,7903461
"1703",9,1,2,2,1,NA,1,NA,NA,1,5139745
"1704",21,1,1,NA,5,NA,NA,NA,NA,NA,3604823
"1705",6,NA,2,2,1,NA,NA,NA,NA,NA,5789920
"1706",11,1,10,1,16,NA,4,NA,NA,2,4094027
"1707",5,NA,1,NA,1,NA,NA,NA,NA,NA,3218500
"1708",4,NA,1,1,3,NA,1,NA,1,NA,5089521
"1709",14,2,3,NA,4,NA,2,NA,NA,1,3488016
"1710",37,4,NA,1,2,NA,1,NA,NA,1,6800786
"1711",2,1,1,NA,2,NA,NA,NA,5,2,3646180
"1712",11,NA,1,1,6,NA,4,NA,NA,4,5804120
"1713",45,7,NA,NA,3,NA,NA,NA,NA,NA,3827045
"1714",19,4,9,4,4,NA,1,NA,1,NA,15469556
"1715",15,3,12,NA,14,1,NA,NA,NA,NA,8695590
"1716",12,2,2,NA,6,NA,1,NA,1,NA,6672208
"1717",2,1,1,NA,NA,NA,8,NA,NA,8,4021758
"1718",9,4,3,1,9,NA,2,NA,1,1,10770331
"1719",6,2,2,NA,1,NA,5,NA,NA,1,14709660
"1720",2,NA,NA,NA,4,NA,NA,NA,NA,NA,4864869
"1721",14,1,4,1,1,NA,5,NA,NA,NA,4623415
"1722",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062080
"1723",22,7,24,1,28,NA,4,NA,1,NA,9256007
"1724",57,11,3,3,2,NA,9,NA,NA,2,27178445
"1725",11,6,5,1,7,NA,1,NA,NA,1,13216710
"1726",18,9,5,NA,1,NA,NA,NA,NA,NA,6264351
"1727",3,3,2,NA,NA,NA,1,NA,NA,NA,8208908
"1728",10,NA,4,1,4,NA,NA,NA,3,NA,7985433
"1729",13,4,4,2,6,NA,28,NA,1,1,10950720
"1730",16,2,3,NA,5,NA,2,NA,1,NA,6556984
"1731",10,1,9,NA,8,NA,8,NA,NA,NA,4390902
"1732",25,NA,5,NA,12,NA,1,NA,NA,1,10218364
"1733",13,3,5,1,3,NA,14,NA,1,13,8001504
"1734",69,11,17,NA,16,2,13,NA,NA,NA,18958298
"1735",45,9,24,4,13,NA,10,NA,1,1,17453454
"1736",48,4,7,3,10,NA,2,NA,NA,1,4919541
"1737",68,6,11,1,10,NA,1,NA,NA,2,13248019
"1738",19,2,19,2,16,NA,10,NA,2,NA,21078966
"1739",19,4,6,3,17,1,1,NA,NA,NA,13932939
"1740",6,1,1,1,7,NA,3,NA,NA,NA,9477071
"1741",8,2,3,NA,14,NA,2,NA,NA,NA,6389733
"1742",50,9,NA,NA,7,NA,2,NA,NA,NA,24122502
"1743",5,4,2,NA,4,NA,NA,NA,NA,NA,5507086
"1744",6,9,6,NA,10,NA,12,NA,NA,13,13246255
"1745",117,10,2,1,1,NA,6,NA,4,5,7797693
"1746",5,4,1,NA,7,NA,1,NA,1,NA,7453297
"1747",3,2,5,NA,1,NA,NA,NA,NA,NA,5817419
"1748",15,1,7,1,18,NA,3,NA,NA,1,8755132
"1749",13,3,7,NA,NA,1,7,NA,NA,NA,7419825
"1750",31,3,29,5,23,NA,23,NA,8,6,15587938
