"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0,0.845562641829641,0.074880563988392,0.402479550613547,1.17562656691623,0,0,0.0420238494805856,0,0,0.164080021170539,0.0302154078204088,-62.1584917307396,0.0272557636712512
"2",0,0.740782311489322,0.0431607287713276,-0.395662351476442,1.44671795299548,0,0,0.0147364472017546,0,0,0.00952014433483126,0.0201985827782702,-61.6603781791439,0.0265689191643059
"3",0,0.756175492353259,-0.0117220260895561,-0.443534407618833,1.27697100763217,0,0,0.0544051829809959,0,0,-0.164490729648288,0.00629739244203436,-63.1335579198144,0.0124491684474822
"4",0,-0.808489203367192,0.058962501353081,0.406830154170176,1.19368970599324,0,0,0.0363552566985759,0,0,0.148901742648165,0.0226005444495313,-61.376462959848,0.0367625828005942
"5",0,-0.801507459790727,0.0372429733419593,-0.403511924854446,1.30076499361841,0,0,0.0285730999956338,0,0,-0.135416592730679,0.0115698709145206,-61.5435276431919,0.0241346061723926
"6",0,-0.757063808741205,0.0756852564014995,-0.439319246854527,1.11357710412877,0,0,0.0509453411545278,0,0,0.010986484912879,0.0327572789346021,-63.3880575992525,0.0340297828240228
"7",0,0.805730884880147,0.0660034812557857,-0.403083722795022,1.44417747945049,0,0,0.0248846897207692,0,0,0.0557023579229144,0.0125294181704117,-62.9839703821397,0.0121898413861696
"8",0,0.721779312068044,0.0581322440252382,0.410769000503553,1.30602221194319,0,0,0.0127960115049569,0,0,-0.130759671900599,0.0351350246948613,-62.1549687448098,0.0565888141549345
"9",0,0.757427669342887,0.0396197513101309,-0.394382782904502,1.25688925052348,0,0,0.038218717993882,0,0,0.118589732874294,0.0242273855426944,-62.0834021298981,0.0497047472648083
"10",0,0.778099459349742,0.109809635580311,-0.420820782624059,1.26993885298802,0,0,0.011272682260932,0,0,0.125093384927919,0.0372974619554663,-63.3910937829334,0.032170339256549
"11",0,0.740087078500602,0.0698115115213886,-0.413557646367526,1.2432733725594,0,0,0.0107452014508383,0,0,0.151553235034735,0.0294955810829205,-62.7208196645781,0.0886306182310074
"12",0,0.671362634802898,0.064280664710284,-0.43847341643348,1.43824236322311,0,0,0.0136002672134202,0,0,0.030534090305183,0.0219419491200014,-62.0820636476936,0.0157312301765292
"13",0,0.883953458236099,0.0546367726118578,0.413602145745901,1.18858721689116,0,0,0.0365016863632775,0,0,-0.0919128011511208,0.0301156679586653,-62.3944516028274,0.0166479215168019
"14",0,0.788312746787821,0.0251252750956577,0.418461616629779,1.27872219813141,0,0,0.0350244612530085,0,0,-0.0343679856174824,0.0203515189851653,-61.1023614964773,0.0189352029801992
"15",0,1.08286421105737,0.131551745370905,0.335831265698195,1.02160812184774,0,0,0.0389649426277658,0,0,-0.0989788764891963,0.0175040623829623,-65.0769754431545,0.0711822487417197
"16",0,-0.70972920430789,0.0566062984655795,0.409811385860605,1.3684272729866,0,0,0.0144505335709582,0,0,0.0463235344909709,0.0181310401195001,-61.13823885517,0.0391942521233675
"17",0,-0.813648540539234,0.067525983350985,0.403488937595216,1.41570628028918,0,0,0.0249944642037541,0,0,0.0129854433980806,0.0260537769326315,-62.8354265377485,0.0127394594073255
"18",0,-1.04526191536584,0.133838350039636,0.317842589416836,1.09274524828199,0,0,0.0354624820856481,0,0,0.0837981221185744,0.0532604498307927,-68.6976857240269,0.120943502541173
"19",0,0.7286202927142,0.0669332321584538,0.406794395716036,1.40228843795952,0,0,0.0166985276943954,0,0,-0.00811929259247085,0.00980781259780638,-61.9287936415519,0.0285874354492461
"20",0,0.666210811510695,0.0898267627279055,0.449030237071448,1.36637248134252,0,0,0.0033138585454983,0,0,0.0620639591435479,0.0345466768671961,-62.8042437017281,0.022132534823544
"21",0,-0.778773570857729,0.0849082416488421,0.390675037705164,1.30641195172402,0,0,0.0265732956945996,0,0,0.0713264695072897,0.0326610703539497,-62.5289153062786,0.0407168012757353
"22",0,0.688786267236157,0.0643879343449934,0.424161700571092,1.38394786294275,0,0,0.0111957117050761,0,0,0.0886337690129426,0.0442907112272403,-62.7683527784319,0.0264257277050844
"23",0,0.696099223840485,0.084805769073344,0.413741330582316,1.42987348025364,0,0,0.0150470660954139,0,0,-0.137544597769571,0.0125369865075685,-63.0233826426912,0.0261943736236872
"24",0,0.766416189430698,0.0378522586125746,0.437641990929968,1.24979559355327,0,0,0.0307998627872018,0,0,0.109381235429853,0.00916736244671501,-61.8738399181841,0.0202830970834686
"25",0,-0.683580192384305,0.0717835073640188,0.433651908791831,1.26075997304642,0,0,0.0211552731581358,0,0,-0.104529565004468,0.0311555684315723,-62.0561730164636,0.0458494867786986
"26",0,0.764823015631574,0.024593432044075,0.380258432401245,1.30319986364258,0,0,0.0266933307599226,0,0,0.179283805227221,0.0352584846146862,-64.3141244620674,0.0809897058098616
"27",0,0.807022297784558,0.0390112891705065,-0.410544074763927,1.24406999789674,0,0,0.024085688674408,0,0,0.105905792898667,0.0155820730599027,-61.7914113198695,0.0300458292528475
"28",0,-0.736423103588973,0.0345343773502982,0.450156382665627,1.30933600022069,0,0,0.0298857087144934,0,0,0.131042498902767,0.0194409414516169,-61.3461605519515,0.0131886045279228
"29",0,-0.713322382247474,0.0486612421761956,-0.415975009571844,1.29980515309274,0,0,0.0158687510909601,0,0,-0.170810074945183,0.0426006727633447,-62.8521096967913,0.0476559661876329
"30",0,-0.765619460172855,0.0496415008821269,-0.407685806691679,1.27454666806665,0,0,0.0241154271698103,0,0,-0.0560537340481394,0.0323733315851835,-61.3131566381101,0.0360377850669842
"31",0,-0.785053502292588,0.0563497600045882,-0.412639867381243,1.32251938444068,0,0,0.0143442315403139,0,0,-0.0535832291112151,0.0297651130404912,-61.3852510601783,0.0253215727031559
