"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma_obs2","loglik","loglik.se.se"
"1",0,-0.813064938466807,0.0129985293015047,0.297538034148511,1.43864149402554,-0.0177748105434089,0,0.0133300286042477,0.0992986150830193,0,0.0684021621852168,3.53223138297882,0.170691305018299
"2",0,0.944996907553822,-0.00165516928104129,-0.259942388933421,1.4156588447077,-0.0328353956191447,0,0.0120105840157483,-0.214584123778179,0,0.102531705040168,2.40122396430983,0.184674566311779
"3",0,-1.03286846113611,0.0243608620569848,-0.24560825066381,1.31406161227331,0.131788336008558,0,0.0101784161872264,0.184256654330218,0,0.00103957389186441,2.52323280936692,0.322910497405695
"4",0,0.957590729142052,0.00434254299498254,-0.262606907190925,1.23469247504295,0.0780082384161692,0,0.0144145181831659,0.0706218190164608,0,-0.112984570149188,1.45207930090767,0.5662091727107
"5",0,0.7890419644642,0.0113323050656242,0.291796651186698,1.59820854743173,-0.107702091860761,0,0.00217278137415778,0.17470532430206,0,-0.0533127809923818,3.62327017958568,0.148903628967777
"6",0,0.977868062878631,0.0123636844447293,0.245572849081144,1.22480393671189,-0.129725328317075,0,0.0127226566060827,0.190587328113916,0,0.098640782173472,0.110927315278888,1.15164104505973
"7",0,-0.952140389462597,0.0153321550060434,0.280925749451853,1.61221758666909,0.301116032860775,0,0.00591600772507133,-0.164809051313882,0,-0.0626677397387203,-0.00429023328894473,0.0260823624040862
"8",0,0.918764208410369,0.013273515880581,0.287329452123359,1.24549406290315,-0.113461672661367,0,0.00817014989991923,0.123975080872326,0,0.00595785231154619,2.74695543482514,0.443703928473654
"9",0,0.915823656333256,0.016517655219382,-0.274513573521339,1.25377630547664,0.271894051667067,0,0.0169408760765143,-0.0305595509050939,0,0.00965146030551114,2.57345120687211,0.556217704117745
"10",0,-0.987487649119804,0.033909096935652,0.229561471256322,1.35690954137512,-0.0332440177593432,0,0.0172746548864027,0.0591157362197721,0,0.0744865594589505,-3.51850583200155,0.868594966190995
"11",0,-0.869311895598902,0.00324478078616265,-0.266944572886941,1.41704992402782,-0.260126400722411,0,0.00806622254035581,-0.0795322423672572,0,-0.0626916730911103,2.501583469022,0.340186834603701
"12",0,-0.883024224110541,0.0131132896978021,0.251216341930319,1.62961229800635,0.246827554566426,0,0.00562088322625952,0.187856283272067,0,0.00395343729105275,1.56188488368907,0.187944412144257
"13",0,0.799770153432481,0.0155078613390391,0.316262387800372,1.3834050779091,-0.129782865382129,0,0.00571367982127492,0.194276406380336,0,0.0849817104737495,1.26046261344035,0.15653199402893
"14",0,-0.811563556888341,0.0134263907739927,0.290786447365882,1.46933667726806,0.364090279755864,0,0.00929574381504933,0.0512976059049659,0,-0.105462334684938,3.02186654039492,0.173216060079778
"15",0,-0.74725485879571,0.0140642229050989,0.263587542714446,1.55982585378539,-0.219515410489484,0,0.00460048501893901,0.111500975047505,0,0.11106310646517,-1.96754409087132,1.94839884602213
"16",0,-0.92870506391584,0.0321040999954514,0.280662141092796,1.36054818613568,0.170179593818381,0,0.0163327581413665,-0.092058168792322,0,0.0571112071420246,1.92940106784202,0.113158794243759
"17",0,-0.851446365968006,0.00978977503787061,-0.270750047426268,1.49956866941269,0.357380171815114,0,0.00757069235758466,0.0234401434565024,0,-0.141277665982416,1.89727115310018,0.207408717536701
"18",0,-0.752339412713401,0.0198834005096979,-0.299521544000662,1.72924246986825,0.17659167641147,0,-0.00115685849232492,-0.103679792337724,0,0.0515811217237845,1.56389298951943,0.0767626636773925
"19",0,-0.900878036363876,-0.00933539668979064,0.267228499981604,1.23452305574221,0.138261309002639,0,0.031076665984875,0.00140344097921828,0,0.163866511918678,0.767350695484777,0.536818408489846
"20",0,0.844811864381488,0.00998433439668431,0.289359081740558,1.66898002401837,-0.293337130250307,0,0.00576615054694435,-0.0681276878268564,0,0.0794838650024313,3.06828066253696,0.0429280883931418
"21",0,-0.85026719032518,0.0312439494103167,0.274053185670345,1.3670694074253,-0.136725797831766,0,0.00894004482223635,0.170115208302092,0,0.0939552661298711,2.18597233563256,0.468879161535836
"22",0,0.89663238405636,0.0192990324532844,0.266267666000937,1.40429764291038,0.21456631929266,0,0.0185258269541322,0.0403587007307982,0,0.0967894238076363,2.6250787127317,0.259824433013386
"23",0,-0.950115373874419,0.0429646869791907,0.230493443578098,1.31958595008946,-0.00353955372003463,0,0.0125324672863622,-0.187151873082445,0,-0.109544357876802,-5.67250166234368,0.941225632966295
"24",0,1.04354818184255,0.0163080902430519,-0.270772976605069,1.04315347425936,0.188332058933572,0,0.0115942210221411,0.164758867472946,0,-0.0491368531718099,-0.426098600079309,1.04244332986125
