"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0.693242863893762,47.0715771007787,0.0936878418348535,-0.882701005097471,0,0,0,0.889221342544398,0,0,0,-140.320505132517,0
"2",0.692969167833927,-21.4397218983789,0.0948875537253979,-0.882591244532737,0,0,0,0.889436700074943,0,0,0,-140.320513629185,0
"3",0.692827324208412,19.258088371914,0.0933957129593657,0.882689884786272,0,0,0,0.889353959885405,0,0,0,-140.32049099718,0
"4",0.692993738528534,19.2865588332467,0.0937128093017123,-0.882780303021516,0,0,0,0.88962395154928,0,0,0,-140.32050746891,0
"5",0.69295321479259,-17.5009192525552,0.0940838470085194,-0.882726889406074,0,0,0,0.889751209988729,0,0,0,-140.320512318697,0
"6",0.693025984532718,-22.9230043054725,0.0938102476196839,0.882640683178366,0,0,0,0.889794907096053,0,0,0,-140.320513548744,0
"7",0.693344763333811,18.1037408686945,0.0941120225844332,0.882709165137649,0,0,0,0.889447293150002,0,0,0,-140.320513899456,0
"8",0.692846201251533,34.8096296971007,0.0927954683760985,0.882699355106566,0,0,0,0.889240189671701,0,0,0,-140.320495506971,0
"9",0.692850770119269,71.6036476879651,0.0929644471625717,-0.882822027425509,0,0,0,0.8896078159462,0,0,0,-140.320513680234,0
"10",0.69277546008481,-21.1466730260339,0.0951664372232948,0.882790168125226,0,0,0,0.889500628409822,0,0,0,-140.320526154154,0
"11",0.692456664109735,-13.4991254540975,0.0933358244495409,0.882497647138248,0,0,0,0.888972233611279,0,0,0,-140.320529087539,0
"12",0.693220209073779,-6.12195185652126,0.0928589944787637,-0.882662293392821,0,0,0,0.889024965543195,0,0,0,-140.32051441315,0
"13",0.693377893482495,0.461810159178106,0.0933304011326572,0.882776230249367,0,0,0,0.889012974066086,0,0,0,-140.32052999494,0
"14",0.692804725197198,-44.360535154977,0.0940966608543272,0.882814822589505,0,0,0,0.889331375755317,0,0,0,-140.320506423666,0
"15",0.69319465190734,-15.4636035463346,0.0932496865383436,-0.882666232956273,0,0,0,0.889445204604618,0,0,0,-140.320501011206,0
"16",0.692590381942316,19.223672049182,0.0930990613727021,0.882811941469113,0,0,0,0.889435874288048,0,0,0,-140.320509512884,0
"17",0.692908282818717,44.7999472585259,0.0935185043080275,-0.882776426386049,0,0,0,0.889317666251298,0,0,0,-140.32049771422,0
"18",0.693046150143489,14.9056422079527,0.0942555449543861,0.8828235020904,0,0,0,0.889244181306123,0,0,0,-140.320513827742,0
"19",0.692775766187878,1.05658617045575,0.094749893482432,0.882706468435069,0,0,0,0.889738594888541,0,0,0,-140.320521108627,0
"20",0.692531722448078,-19.2285132962509,0.0925201332702909,0.88267270326874,0,0,0,0.889423021993399,0,0,0,-140.320505974445,0
"21",0.692976663070484,-64.0147984363136,0.0938315846178516,-0.882787387395957,0,0,0,0.889239886897115,0,0,0,-140.320502139816,0
"22",0.692877283659284,7.13184842696461,0.0935629783059914,-0.882654693904559,0,0,0,0.889128371401644,0,0,0,-140.320494721595,0
"23",0.692526144162693,5.54382929292352,0.0953250385173815,-0.882492394884046,0,0,0,0.889562603967227,0,0,0,-140.320552339995,0
"24",0.692614499085114,-13.3198517272556,0.0933243281077101,0.882642078957168,0,0,0,0.889544720101282,0,0,0,-140.320500067817,0
"25",0.692840372003036,-18.0845136702058,0.0918135066007999,0.882728124235605,0,0,0,0.8893944307395,0,0,0,-140.320515527868,0
"26",0.692773002270679,-6.64646606752647,0.0937463269840055,-0.882416383419053,0,0,0,0.88967548658505,0,0,0,-140.320543703499,0
"27",0.692750326590857,-35.3915652569082,0.0929169856006401,0.882656795589984,0,0,0,0.88960039068619,0,0,0,-140.320501120747,0
"28",0.693106981818943,-18.7464438199449,0.0933745997659454,0.882705990627737,0,0,0,0.889089892138981,0,0,0,-140.320502748046,0
"29",0.692869055350091,-24.7948806103228,0.0944479208177237,-0.882731158310198,0,0,0,0.88933676681983,0,0,0,-140.320500795055,0
"30",0.692979860932727,13.705077615789,0.0933452688046593,-0.882623920764959,0,0,0,0.889527849490602,0,0,0,-140.320497086506,0
"31",0.692941536204411,18.9963380689954,0.0941576251974229,0.882694370118202,0,0,0,0.889344442687335,0,0,0,-140.320495725299,0
"32",0.693138646705665,0.787318859725106,0.0923617736431142,-0.882638675642015,0,0,0,0.889040918948248,0,0,0,-140.320516757004,0
"33",0.693067943647389,30.9904243335483,0.0930753101729208,0.882760625719683,0,0,0,0.889544431769258,0,0,0,-140.320504155448,0
"34",0.692742468883204,2.77451857227193,0.0935553688345345,-0.882616198804002,0,0,0,0.889555733388595,0,0,0,-140.320498530159,0
"35",0.692964640190377,38.9520277854893,0.0944583642712863,0.882763111129615,0,0,0,0.88971286616047,0,0,0,-140.320517863322,0
"36",0.692669255746128,1.7468648673379,0.0931511669310549,0.882787675514814,0,0,0,0.889282387335081,0,0,0,-140.320501617014,0
"37",0.692586703051124,-7.70007686759752,0.0947671621516701,-0.882879991595706,0,0,0,0.889363120556205,0,0,0,-140.320535661766,0
"38",0.693180425286833,-9.73416403951168,0.0928379266785072,-0.882740416129957,0,0,0,0.889394608666097,0,0,0,-140.320505370221,0
"39",0.692685614747494,-49.5529221013498,0.0933239494446838,0.88256737203973,0,0,0,0.889678559238138,0,0,0,-140.32051151682,0
"40",0.692901407827498,-35.4653591032772,0.0942319072885703,0.882827562750347,0,0,0,0.889345366124274,0,0,0,-140.320510570446,0
