"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0.0635038372165388,1.29456755115246,0.127746955431533,0.312138740468233,1.00484481365131,0,0,-0.00607904561957251,0,0,0,-50.2731900933162,0.0222043214292976
"2",0.0534861702944298,1.18088249437858,0.148540663247078,-0.329334695301056,1.13909750175105,0,0,0.00177601912682037,0,0,0,-49.9145288648097,0.0141462654245075
"3",0.0537228864615785,-1.12447340488564,0.12555025038629,-0.307125803942561,1.23572301117136,0,0,0.00190273674713647,0,0,0,-48.2556628179055,0.022517070656361
"4",0.0472082053911882,1.18310417839279,0.112495820785613,-0.307725096109298,1.15088190303348,0,0,-0.000888566246846628,0,0,0,-48.3048197949573,0.0264389702973525
"5",0.0451358721981913,1.10348256401534,0.113729785832369,0.331606408935532,1.15811176881296,0,0,0.00477146123173476,0,0,0,-48.1707992217972,0.0190037425285292
"6",0.0683018561754466,-1.35819263145766,0.117189325352893,0.287107063027485,0.914737999773095,0,0,0.00337736297269984,0,0,0,-50.0149794649328,0.0364766809163665
"7",0.0666749046309541,1.15050500798226,0.159974813145289,0.315999542912012,1.05877782220382,0,0,-0.00788589478904859,0,0,0,-50.0770992361464,0.0325576394698103
"8",0.0456764000091369,1.1402436729245,0.109868706183939,-0.313222833207395,1.12863246990957,0,0,0.000358528024301327,0,0,0,-47.6160764887954,0.03069496000904
"9",0.0616879878724144,1.14936784397975,0.109249530809528,0.306954582154657,1.09963741615266,0,0,0.000181662784657571,0,0,0,-47.2739246805792,0.0328277965244347
"10",0.0684117076795823,-1.10716088146248,0.106663130661235,0.310274602251863,1.18324837485967,0,0,-0.00266635978962039,0,0,0,-48.1780137111793,0.0243291775781064
"11",0.0510081841683029,-1.28773856400308,0.100299720538151,-0.303097242442317,1.08564174565469,0,0,0.00443852507579713,0,0,0,-49.9689166270592,0.0193135395771166
"12",0.045566639328619,1.05451671256058,0.0877770474048099,0.318625304363526,1.2774416550795,0,0,-0.00355195856628587,0,0,0,-49.1196707682576,0.0249838869997571
"13",0.0731769089853594,1.18239869812552,0.102331178765977,0.33601306180443,1.03316992360541,0,0,-0.00668556247335924,0,0,0,-49.3054349522451,0.0160766177716512
"14",0.0422921989978363,-1.28390065259864,0.122830590216642,0.316076337178977,0.964097459400336,0,0,0.0182420161995007,0,0,0,-50.3774692985457,0.0197869679781197
"15",0.0660671315996413,-1.24792358882865,0.0814223664257173,0.328427284327848,0.994351546773792,0,0,-0.000190507022631244,0,0,0,-49.844599443347,0.0161909632027498
"16",0.0661381011298472,-0.79462815823638,0.000185227689023224,-0.404007176711626,1.25881379600141,0,0,9.94624044953661e-05,0,0,0,-45.5135586654136,0.0103132680907336
"17",0.0543270060570511,1.23971023544462,0.133282197666154,0.320700745383261,1.00971462786264,0,0,0.00782453904709246,0,0,0,-49.2391209612565,0.0186134276135237
"18",0.0758859012199973,-1.36578564077404,0.116406859163707,0.298256274175883,0.896605142872755,0,0,0.00188422508734837,0,0,0,-50.2354242480541,0.0246735411479349
"19",0.0563198839723412,-1.0906498706193,0.118049074938219,0.310702767642907,1.29171011132149,0,0,-0.00152622451150181,0,0,0,-48.1254842643544,0.0197923111051679
"20",0.0542628104181355,1.151621513209,0.112541689077736,0.293788817961936,1.28377672438188,0,0,-0.00100895780303893,0,0,0,-48.8396633519358,0.0251031926611451
"21",0.0894461306299864,-0.919668856439256,0.0670043642906366,-0.367796595301088,1.10267760178449,0,0,-0.0061329303384819,0,0,0,-48.6071133165619,0.0176491441047701
"22",0.0605051934906754,-1.04670688442441,0.10774952879954,-0.331995089773435,1.27398155588205,0,0,-0.00054099760497933,0,0,0,-48.084736064998,0.0139965712467908
"23",0.0457148423696929,-1.26514093207482,0.0948763927492203,-0.302211427503378,1.17937175703434,0,0,0.00437489076109801,0,0,0,-50.8880105049079,0.0164735135302443
"24",0.0485649849536961,-1.06496828983371,0.115598658892564,0.320728988556048,1.32310051613085,0,0,-0.0016292743938147,0,0,0,-48.2673999006527,0.0166650093960332
"25",0.0763438189117352,0.952378540184932,0.0929404912021283,-0.3720728812024,1.10496159278036,0,0,-0.0035469762256814,0,0,0,-47.8900065866132,0.0153858932338821
"26",0.0445590959967739,1.20448115753462,0.120030065857325,0.2807939337797,1.22286340816109,0,0,-0.00151919816261425,0,0,0,-49.9765491115144,0.0417640602802741
"27",0.0646047835172132,-1.15583384039569,0.0899191440622952,0.308921588111691,1.07748242269564,0,0,0.00561423525368348,0,0,0,-49.1443395225211,0.0275282109031294
"28",0.0515749817636786,1.33838932699549,0.127726032924297,0.301695628838081,0.973838260138593,0,0,-0.00249632574489071,0,0,0,-50.1185776486416,0.0299571651988578
"29",0.0507987314039433,0.733887807045095,0.00818490438421622,-0.398246735501623,1.38677144182719,0,0,-0.00251306564750283,0,0,0,-45.9214443570187,0.0135400998200867
"30",0.0577335988132476,1.38701603998169,0.104392370970878,-0.311731203631033,0.93421739722214,0,0,-0.00329402698984656,0,0,0,-50.7127495373235,0.0210600799900412
"31",0.054915031787595,-1.38009984741502,0.110252160904963,0.276354259285661,0.99323649371736,0,0,-0.000406594755929213,0,0,0,-50.3239786713948,0.040868779344191
"32",0.0574575720854189,-1.19624176566626,0.11339806340675,-0.29784099915418,1.26240341473196,0,0,0.00138009337448111,0,0,0,-50.116915670997,0.016669148918301
"33",0.0544209559093916,-1.3309456291794,0.126812037535627,0.311820808168233,0.927863782601328,0,0,0.000796633652583796,0,0,0,-49.1472813925969,0.0267782744369168
"34",0.0545323948903014,1.27655071116215,0.101386560296162,0.312351127748047,1.00689837168056,0,0,0.00581809464637913,0,0,0,-49.264454053118,0.0206391047474758
"35",0.0478684565622228,0.738910804439676,0.000421489585391633,-0.397358379538943,1.33846620043749,0,0,-0.000531660926317935,0,0,0,-45.7366610458729,0.0188435078278937
"36",0.0713148758428212,-1.01660656491557,0.110689259420558,0.341451003761789,1.12839657259159,0,0,-0.00649509423566557,0,0,0,-47.6265629985907,0.0227501477377037
"37",0.0602084662219914,1.14437320357638,0.155540970758993,0.322327719661052,1.11063605562156,0,0,-0.000642720136966477,0,0,0,-48.615159685794,0.0210114524378269
"38",0.0703773283121113,-1.16942875574772,0.116696232287162,0.329506248266396,1.02575853990833,0,0,-0.00324058479961082,0,0,0,-48.0337407631053,0.0208623170428654
"39",0.0565344215431293,1.09670948819707,0.119426217788652,0.336585645219071,1.20314199363219,0,0,0.000139236331171662,0,0,0,-48.2369377573717,0.0133757884867284
"40",0.0697916249961998,-1.02038072573311,0.108876293544339,-0.319282488496835,1.30938462001846,0,0,0.0010472081042777,0,0,0,-49.5383056453658,0.0164783685137519
